54,47,98,46,98,56,54,57,POWERTUL
239,279,257,279,257,289,239,289,BUT
110,71,162,71,162,81,111,82,EMANATING
116,152,133,151,133,161,116,161,BUT
36,165,58,165,58,175,36,175,NOW
57,139,101,139,102,149,57,149,WITCHERS
212,240,243,240,243,250,212,250,BOTTLE
34,60,78,59,78,70,34,71,ROUNDING
201,293,237,293,237,304,201,303,TONGS
147,58,179,58,179,69,147,69,STRONG
69,256,103,257,103,267,69,266,POTION
35,74,66,73,66,82,35,83,POWER
221,149,258,149,258,160,221,160,GUSTAV
235,95,254,94,255,104,236,105,AND
121,184,157,184,157,194,121,195,SAMPLE
153,200,193,200,193,210,153,210,GUSTAV?
199,69,256,68,256,79,199,80,PARTICULARLY
34,153,72,152,72,162,35,163,POTIONS
137,243,155,243,155,252,137,252,YOU
53,86,82,85,82,95,54,96,GUTTER
136,85,162,85,163,95,136,95,MANY
35,125,61,124,62,134,35,134,DOWN
165,242,211,240,212,251,165,252,STOPPERED
82,85,115,84,115,95,83,95,NEARBY
34,99,62,98,62,108,35,109,MAKE
147,165,178,165,178,174,147,174,KNOWS
198,109,221,108,222,119,198,119,BOBS
114,111,154,110,154,119,114,120,BETWEEN
171,152,191,152,191,161,171,162,YOU
117,280,160,279,161,289,117,290,RELUCTANT
88,184,112,184,112,194,88,194,HAVE
188,95,234,95,234,106,189,106,PHYSIQUE
236,108,255,108,255,118,236,118,AND
180,57,218,57,218,67,180,68,ENOUGH
112,201,132,201,132,211,112,211,FIND
37,308,61,308,61,317,37,317,LOSE
231,57,255,57,255,65,231,66,OVER
146,293,182,293,182,302,146,302,LOOSENS
108,241,137,242,137,252,107,251,HANDS
71,98,123,97,124,108,72,109,IMPOSSIBLE
112,293,144,293,144,303,112,303,QUICKLY
54,324,86,325,86,335,54,334,QUEST:
54,339,86,339,86,350,54,350,ENTER:
183,44,204,44,204,54,184,54,AND
220,82,256,81,256,92,220,93,CLOTHES
124,165,146,165,146,174,124,174,WHO
52,111,91,111,91,122,52,122,SMOKING
209,280,237,280,237,290,209,290,MORE
186,183,223,183,223,192,186,193,WARES?
192,150,219,150,219,160,192,160,KNOW
94,124,129,123,129,134,94,134,SPEAKS
68,186,87,185,87,195,68,195,YOU
53,292,79,291,80,303,53,304,JINGLE
124,139,163,138,163,148,124,149,EXPERTS
53,202,86,202,86,211,53,211,WHERE
68,307,93,307,93,317,68,317,GOLD
87,324,120,324,120,334,87,334,FOREST
65,279,86,279,86,290,65,290,FIRST
164,84,192,84,192,93,164,94,LAYERS
34,86,53,85,53,95,35,95,FOUL
33,46,53,47,53,57,33,57,THE
165,70,188,71,188,80,165,80,FROM
36,257,62,257,62,266,36,266,DRAW
190,281,208,281,208,290,190,290,YOU
205,44,235,43,235,53,206,54,HERBS
142,45,182,45,182,55,142,55,INCENSE
183,292,200,292,200,302,183,302,HER
165,138,194,138,194,147,165,147,WHEN
36,140,56,140,56,149,36,149,YOU
155,110,172,110,172,120,155,120,HER
92,111,113,110,113,120,92,121,PIPE
73,152,93,152,93,162,73,162,AND
58,166,90,165,90,174,58,175,THERE'S
117,84,135,84,135,94,118,94,THE
236,44,257,44,257,53,236,53,SUR
80,59,97,59,97,69,80,69,THE
203,83,220,83,220,93,203,92,HER
90,293,111,293,111,302,90,303,COIN
173,279,189,279,189,289,173,289,TELL
35,112,51,112,51,121,35,121,THE
133,153,159,153,159,161,134,161,NONE
94,151,113,152,113,162,94,162,OILS
98,60,136,60,136,68,98,68,WOMAN
86,72,109,72,109,81,86,82,ODOR
170,97,188,97,188,106,170,106,HER
206,138,243,137,243,147,206,147,COMES
172,110,198,110,198,119,173,119,TEETH
180,164,196,164,195,174,180,174,HIS
133,201,152,201,152,211,133,211,THIS
68,72,84,72,84,82,68,82,THE
101,167,124,167,124,175,101,175,MAN
169,183,185,183,185,193,169,193,HIS
196,164,225,163,225,172,197,173,STUFF!
36,293,52,293,53,303,37,303,THE
52,241,71,242,71,252,52,251,THE
104,140,122,140,122,148,104,148,ARE
136,98,170,97,170,106,136,107,ASSESS
101,47,128,46,128,55,101,56,SCENT
76,124,93,124,93,134,76,134,SHE
87,202,108,202,108,211,87,211,CAN
88,280,106,280,106,289,89,290,SHE
